ID;gaster_length;gaster_width 
1;67,636;47,439
2;NA;NA
3;87,865;58,094
4;77,898;57,354
5;80,448;54,99266667
6;132,475;122,6
7;164,189;103,436
8;NA;NA
9;113,369;77,785
10;55,643;42,31366667
11;54,8525;37,8205
12;82,626;62,871
13;55,868;38,706
14;49,387;37,466
15;84,92033333;60,468
16;NA;NA
17;79,6205;58,745
18;56,7425;43,614
19;46,905;39,93
20;72,554;53,577
21;49,856;34,757
22;50,5035;38,1865
23;88,037;69,3385
24;65,666;45,23
25;63,4685;44,251
26;NA;NA
27;NA;NA
28;59,771;38,272
29;58,747;37,343
30;51,6655;34,468
31;89,971;62,579
32;67,346;45,9906
33;55,971;39,65
34;49,044;44,1505
35;71,3566;49,699
36;132,8525;96,812
37;79,0865;69,919
38;43,187;36,758
39;58,318;42,968
40;57,226;43,475
41;77,6155;55,306
42;84,747;53,486
43;82,225;67,622
